bathrooms,bedrooms,floor_location,link,neighborhood,parking_spots,price,stratum,surface,total_levels,yard,backyard,remodeled,terrace,residencial_building,pool,status_en construccion,status_lanzamiento,status_nuevo,status_para entrega,status_sobre planos,status_usado,city_cali,city_jamundi,city_palmira,property_type_apartamento,property_type_casa,property_type_lote o casalote
5.0,4.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-norte-chipichape-vp898864-mdminmobiliaria,chipichape,0.0,580000000.0,0.0,152.0,2.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
3.0,4.0,1.0,http://www.metrocuadrado.com/inmueble/venta-casa-palmira-4-habitaciones-3-banos-1-garajes/2361-78457,palmira,1.0,230000000.0,3.0,113.0,0.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3.0,3.0,1.0,http://www.metrocuadrado.com/inmueble/venta-casa-palmira-3-habitaciones-3-banos-1-garajes/242-4442638,las mercedes,1.0,230000000.0,4.0,103.0,0.0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0
3.0,5.0,1.0,http://www.metrocuadrado.com/inmueble/venta-casa-palmira-5-habitaciones-3-banos-1-garajes/242-4442635,providencia,1.0,145000000.0,2.0,217.0,0.0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0
2.0,3.0,0.0,https://www.fincaraiz.com.co/apartamento-en-venta/cali/valle_del_lili-det-3977422.aspx,valle del lili,1.0,220000000.0,4.0,78.0,0.0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
2.0,3.0,0.0,https://www.fincaraiz.com.co/apartamento-en-venta/cali/zona_sur-det-4128666.aspx,zona sur,1.0,160000000.0,2.0,69.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
2.0,3.0,0.0,https://www.fincaraiz.com.co/apartamento-en-venta/cali/brisas_los_alamos-det-3903083.aspx,brisas de los alamos,1.0,97000000.0,3.0,54.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
1.0,3.0,0.0,https://www.fincaraiz.com.co/bosque-del-valle/cali/proyecto-nuevo-det-3487875.aspx,zona sur,0.0,119000000.0,4.0,59.14,0.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
1.0,3.0,0.0,https://www.fincaraiz.com.co/mirador-campestre/cali/proyecto-nuevo-det-1383702.aspx,melendez,0.0,108390000.0,3.0,48.6,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
2.0,3.0,0.0,https://www.vivendo.co/proyectos/jamundi/miralagos,sin barrio,0.0,339190500.0,4.0,119.03,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2.0,3.0,0.0,https://www.vivendo.co/proyectos/jamundi/violetas-del-castillo-tipo,sin barrio,0.0,211500000.0,5.0,63.51,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2.0,3.0,0.0,https://www.vivendo.co/proyectos/jamundi/los-naranjos-conjunto-campestre,sin barrio,0.0,111900000.0,3.0,56.25,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2.0,3.0,0.0,https://www.vivendo.co/proyectos/jamundi/surcos-de-pangola,sin barrio,0.0,108000000.0,0.0,56.61,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2.0,3.0,0.0,https://www.vivendo.co/proyectos/jamundi/brisas-de-buenavista,sin barrio,0.0,89500000.0,2.0,48.7,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2.0,4.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-oriente-calipso-ag1208411,calipso,0.0,125000000.0,0.0,90.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
5.0,5.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-sur-ciudadela-guadalupe-vp1029192-mdminmobiliaria,ciudadela guadalupe,0.0,450000000.0,0.0,315.0,3.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
4.0,4.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-norte-chipichape-vp1024318-mdminmobiliaria,chipichape,0.0,510000000.0,5.0,252.0,0.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
2.0,3.0,1.0,http://www.metrocuadrado.com/inmueble/venta-casa-palmira-3-habitaciones-2-banos/3964-M2034760,,0.0,90000000.0,2.0,90.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1.0,3.0,1.0,http://www.metrocuadrado.com/inmueble/venta-casa-palmira-3-habitaciones-1-banos-1-garajes/72-M2029485,popular modelo,1.0,160000000.0,3.0,176.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0.0,0.0,1.0,http://www.metrocuadrado.com/inmueble/venta-lote-o-casalote-palmira/3251-M2044116,zona franca del pacifico,0.0,2024000.0,3.0,4400.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
3.0,3.0,1.0,http://www.metrocuadrado.com/inmueble/venta-apartamento-palmira-3-habitaciones-3-banos-1-garajes/3172-7634,palmira,1.0,195000000.0,4.0,85.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0
3.0,3.0,0.0,https://www.fincaraiz.com.co/rincon-de-la-arboleda-etapa-iii/cali/proyecto-nuevo-det-4032745.aspx,napoles,1.0,205640000.0,4.0,80.51,0.0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
2.0,3.0,0.0,https://www.fincaraiz.com.co/apartamento-en-venta/cali/refugio-det-4086921.aspx,el refugio,1.0,220000000.0,4.0,78.0,0.0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
2.0,3.0,0.0,https://www.fincaraiz.com.co/apartamento-en-venta/cali/valle_del_lili-det-4058500.aspx,valle del lili,0.0,130000000.0,4.0,46.0,0.0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
2.0,3.0,0.0,https://www.fincaraiz.com.co/apartamento-en-venta/cali/colseguros-det-4170692.aspx,colseguros,1.0,170000000.0,4.0,72.0,0.0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
2.0,3.0,0.0,https://www.fincaraiz.com.co/apartamento-en-venta/cali/ciudad_bochalema-det-3969705.aspx,ciudad bochalema,1.0,210000000.0,4.0,75.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
4.0,4.0,1.0,http://www.metrocuadrado.com/inmueble/venta-casa-palmira-4-habitaciones-4-banos/631-7861,la torre-palmira,0.0,300000000.0,2.0,260.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0
2.0,3.0,1.0,http://www.metrocuadrado.com/inmueble/venta-casa-palmira-3-habitaciones-2-banos-1-garajes/2361-81816,ciudad del campo,1.0,110000000.0,2.0,58.0,0.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2.0,3.0,1.0,http://www.metrocuadrado.com/inmueble/venta-casa-palmira-3-habitaciones-2-banos/835-10467,la torre rozo,0.0,285000000.0,4.0,400.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1.0,4.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-oriente-7-de-agosto-ag1208522,7 de agosto,0.0,150000000.0,3.0,136.0,1.0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
4.0,4.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-norte-la-flora-vp1016477-mdminmobiliaria,la flora,0.0,450000000.0,5.0,277.0,2.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
3.0,3.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-norte-torres-de-comfandi-ag1208544,torres de comfandi,0.0,200000000.0,0.0,100.0,3.0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0
3.0,4.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-norte-la-flora-vp1014481-mdminmobiliaria,la flora,0.0,400000000.0,5.0,179.0,2.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
2.0,3.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-sur-caney-ag1208557,caney,0.0,420000000.0,0.0,142.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
1.0,2.0,0.0,https://www.vivendo.co/proyectos/jamundi/brisso,sin barrio,0.0,457876000.0,4.0,75.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1.0,2.0,0.0,https://www.vivendo.co/proyectos/jamundi/praderas-de-verde-horizonte,sin barrio,0.0,401000000.0,5.0,400.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1.0,2.0,0.0,https://www.vivendo.co/proyectos/jamundi/rosales-del-castillo-tipo,sin barrio,0.0,389600000.0,5.0,130.35,0.0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
